Jurisdiction,Year,Measure,Unit,Quantity
NT,2006-07,Energy consumption,PJ,82.787
NT,2006-07,Energy consumption per capita,GJ/person,387.313
NT,2006-07,Energy intensity,GJ/$ million,3806.317
NT,2006-07,Energy productivity,$ million/PJ,262.721
NT,2006-07,GDP,$ million,21750
NT,2006-07,Population,Number,213748
NT,2007-08,Energy consumption,PJ,95.995
NT,2007-08,Energy consumption per capita,GJ/person,436.589
NT,2007-08,Energy intensity,GJ/$ million,4367.955
NT,2007-08,Energy productivity,$ million/PJ,228.94
NT,2007-08,GDP,$ million,21977
NT,2007-08,Population,Number,219874
NT,2008-09,Energy consumption,PJ,95.044
NT,2008-09,Energy consumption per capita,GJ/person,420.5
NT,2008-09,Energy intensity,GJ/$ million,3986.261
NT,2008-09,Energy productivity,$ million/PJ,250.862
NT,2008-09,GDP,$ million,23843
NT,2008-09,Population,Number,226027
NT,2009-10,Energy consumption,PJ,94.174
NT,2009-10,Energy consumption per capita,GJ/person,409.847
NT,2009-10,Energy intensity,GJ/$ million,3968.219
NT,2009-10,Energy productivity,$ million/PJ,252.002
NT,2009-10,GDP,$ million,23732
NT,2009-10,Population,Number,229778
NT,2010-11,Energy consumption,PJ,99.786
NT,2010-11,Energy consumption per capita,GJ/person,431.428
NT,2010-11,Energy intensity,GJ/$ million,4087.235
NT,2010-11,Energy productivity,$ million/PJ,244.664
NT,2010-11,GDP,$ million,24414
NT,2010-11,Population,Number,231292
NT,2011-12,Energy consumption,PJ,98.194
NT,2011-12,Energy consumption per capita,GJ/person,416.225
NT,2011-12,Energy intensity,GJ/$ million,3867.263
NT,2011-12,Energy productivity,$ million/PJ,258.581
NT,2011-12,GDP,$ million,25391
NT,2011-12,Population,Number,235915
NT,2012-13,Energy consumption,PJ,100.156
NT,2012-13,Energy consumption per capita,GJ/person,414.344
NT,2012-13,Energy intensity,GJ/$ million,3693.068
NT,2012-13,Energy productivity,$ million/PJ,270.778
NT,2012-13,GDP,$ million,27120
NT,2012-13,Population,Number,241722
NT,2013-14,Energy consumption,PJ,99.141
NT,2013-14,Energy consumption per capita,GJ/person,408.168
NT,2013-14,Energy intensity,GJ/$ million,3611.711
NT,2013-14,Energy productivity,$ million/PJ,276.877
NT,2013-14,GDP,$ million,27450
NT,2013-14,Population,Number,242894
NT,2014-15,Energy consumption,PJ,83.987
NT,2014-15,Energy consumption per capita,GJ/person,343.237
NT,2014-15,Energy intensity,GJ/$ million,3019.386
NT,2014-15,Energy productivity,$ million/PJ,331.193
NT,2014-15,GDP,$ million,27816
NT,2014-15,Population,Number,244692
NT,2015-16,Energy consumption,PJ,83.919
NT,2015-16,Energy consumption per capita,GJ/person,341.581
NT,2015-16,Energy intensity,GJ/$ million,2958.332
NT,2015-16,Energy productivity,$ million/PJ,338.028
NT,2015-16,GDP,$ million,28367
NT,2015-16,Population,Number,245678
NT,2016-17,Energy consumption,PJ,83.32
NT,2016-17,Energy consumption per capita,GJ/person,336.764
NT,2016-17,Energy intensity,GJ/$ million,2894.85
NT,2016-17,Energy productivity,$ million/PJ,345.441
NT,2016-17,GDP,$ million,28782
NT,2016-17,Population,Number,247412
NT,2017-18,Energy consumption,PJ,90.161
NT,2017-18,Energy consumption per capita,GJ/person,364.884
NT,2017-18,Energy intensity,GJ/$ million,3071.302
NT,2017-18,Energy productivity,$ million/PJ,325.595
NT,2017-18,GDP,$ million,29356
NT,2017-18,Population,Number,247095
NT,2018-19,Energy consumption,PJ,133.022
NT,2018-19,Energy consumption per capita,GJ/person,539.514
NT,2018-19,Energy intensity,GJ/$ million,4583.809
NT,2018-19,Energy productivity,$ million/PJ,218.159
NT,2018-19,GDP,$ million,29020
NT,2018-19,Population,Number,246559
NT,2019-20,Energy consumption,PJ,146.499
NT,2019-20,Energy consumption per capita,GJ/person,592.089
NT,2019-20,Energy intensity,GJ/$ million,4762.969
NT,2019-20,Energy productivity,$ million/PJ,209.953
NT,2019-20,GDP,$ million,30758
NT,2019-20,Population,Number,247428
NT,2020-21,Energy consumption,PJ,145.341
NT,2020-21,Energy consumption per capita,GJ/person,585.695
NT,2020-21,Energy intensity,GJ/$ million,4804.18
NT,2020-21,Energy productivity,$ million/PJ,208.152
NT,2020-21,GDP,$ million,30253
NT,2020-21,Population,Number,248151
NT,2021-22,Energy consumption,PJ,149.773
NT,2021-22,Energy consumption per capita,GJ/person,598.545
NT,2021-22,Energy intensity,GJ/$ million,4711.02
NT,2021-22,Energy productivity,$ million/PJ,212.268
NT,2021-22,GDP,$ million,31792
NT,2021-22,Population,Number,250228
NT,2022-23,Energy consumption,PJ,129.592
NT,2022-23,Energy consumption per capita,GJ/person,512.312
NT,2022-23,Energy intensity,GJ/$ million,4302.094
NT,2022-23,Energy productivity,$ million/PJ,232.445
NT,2022-23,GDP,$ million,30123
NT,2022-23,Population,Number,252955
QLD,2004-05,Energy consumption,PJ,1225.086
QLD,2004-05,Energy consumption per capita,GJ/person,312.642
QLD,2004-05,Energy intensity,GJ/$ million,4386.604
QLD,2004-05,Energy productivity,$ million/PJ,227.967
QLD,2004-05,GDP,$ million,279279
QLD,2004-05,Population,Number,3918494
QLD,2005-06,Energy consumption,PJ,1279.525
QLD,2005-06,Energy consumption per capita,GJ/person,319.243
QLD,2005-06,Energy intensity,GJ/$ million,4356.837
QLD,2005-06,Energy productivity,$ million/PJ,229.524
QLD,2005-06,GDP,$ million,293682
QLD,2005-06,Population,Number,4007992
QLD,2006-07,Energy consumption,PJ,1328.997
QLD,2006-07,Energy consumption per capita,GJ/person,323.277
QLD,2006-07,Energy intensity,GJ/$ million,4238.859
QLD,2006-07,Energy productivity,$ million/PJ,235.913
QLD,2006-07,GDP,$ million,313527
QLD,2006-07,Population,Number,4111018
QLD,2007-08,Energy consumption,PJ,1289.546
QLD,2007-08,Energy consumption per capita,GJ/person,305.615
QLD,2007-08,Energy intensity,GJ/$ million,3926.73
QLD,2007-08,Energy productivity,$ million/PJ,254.665
QLD,2007-08,GDP,$ million,328402
QLD,2007-08,Population,Number,4219505
QLD,2008-09,Energy consumption,PJ,1345.729
QLD,2008-09,Energy consumption per capita,GJ/person,310.88
QLD,2008-09,Energy intensity,GJ/$ million,4043.281
QLD,2008-09,Energy productivity,$ million/PJ,247.324
QLD,2008-09,GDP,$ million,332831
QLD,2008-09,Population,Number,4328771
QLD,2009-10,Energy consumption,PJ,1294.384
QLD,2009-10,Energy consumption per capita,GJ/person,293.861
QLD,2009-10,Energy intensity,GJ/$ million,3807.975
